datetime,open,high,low,close,volume,SMA_12,SMA_26,RSI
1/1/2024 3:25,42473.93,42500,42462.03,42499.99,23.92025,42482.00083,42439.72038,54.19627269
1/1/2024 3:26,42500,42500,42463.62,42463.63,20.32232,42479.97,42446.06731,50.26170125
1/1/2024 3:27,42463.63,42470.01,42426,42436,32.69329,42473.80333,42450.52885,41.98118348
1/1/2024 3:28,42436.01,42436.01,42415.74,42420.41,8.77715,42463.73167,42454.17923,38.05956966
1/1/2024 3:29,42420.41,42420.45,42412.02,42419.73,25.93935,42456.7625,42456.16923,32.75381147
1/1/2024 3:30,42419.73,42419.73,42391.34,42391.51,18.10354,42449.88583,42455.94923,21.05080028
1/1/2024 3:31,42391.51,42391.51,42377.64,42381.99,12.99361,42443.48083,42454.90269,23.64615451
1/1/2024 3:32,42382,42399.99,42373.11,42373.11,13.11311,42436.2975,42452.94731,25.95081498
1/1/2024 3:33,42373.12,42376,42367.44,42373.82,23.24238,42430.2825,42451.38462,28.23649859
1/1/2024 3:34,42373.81,42373.82,42354.19,42362.93,10.40672,42422.1025,42449.18692,26.58178637
1/1/2024 3:35,42362.93,42362.94,42355.36,42359.68,12.28515,42413.06083,42447.25308,27.94808911
1/1/2024 3:36,42359.69,42379.8,42357.57,42379.8,45.75418,42405.21667,42444.93577,29.75342466
1/1/2024 3:37,42379.8,42424.21,42379.79,42416.27,60.49779,42398.24,42442.51077,38.72159214
1/1/2024 3:38,42416.26,42419.73,42408.41,42408.42,13.82183,42393.63917,42440.44077,35.89544848
1/1/2024 3:39,42408.42,42447.82,42408.41,42447.82,16.82967,42394.62417,42439.19731,39.37777416
1/1/2024 3:40,42447.82,42447.82,42439.08,42445.03,17.29636,42396.67583,42437.54462,45.61320755
1/1/2024 3:41,42445.04,42445.04,42422.64,42423.8,14.3659,42397.015,42434.22923,47.03307393
1/1/2024 3:42,42423.8,42424.68,42419.34,42424.68,8.01692,42399.77917,42429.745,51.11844518
1/1/2024 3:43,42424.67,42431.86,42419.34,42419.35,12.37079,42402.8925,42426.51385,49.90283318
1/1/2024 3:44,42419.34,42443.9,42396.5,42441.32,40.80849,42408.57667,42425.25577,63.15706059
