datetime,open,high,low,volume,SMA_12,SMA_26,RSI,close
12/25/2023 3:58,42905.64,42920.85,42905.64,13.19077,42854.52667,42834.19808,71.09835517,42919.93
12/25/2023 3:59,42919.94,42925.37,42919.93,13.0355,42861.66583,42836.49308,70.10967948,42921.66
12/25/2023 4:00,42921.66,42947.41,42914.49,21.35943,42869.36333,42839.74231,67.06945096,42933.47
12/25/2023 4:01,42933.46,42946.86,42922.95,14.31853,42880.34,42843.29846,66.19294231,42943.55
12/25/2023 4:02,42943.54,42954.54,42939.18,31.75997,42895.11833,42847.55692,66.66369763,42953.35
12/25/2023 4:03,42953.35,42953.36,42932.84,10.76231,42902.55583,42850.43154,69.92961256,42939.81
12/25/2023 4:04,42939.81,42940.01,42934.39,16.67204,42906.6225,42852.66346,78.72556575,42940.01
12/25/2023 4:05,42940.01,42943.21,42930.34,24.68167,42911.15083,42855.74077,68.08722854,42930.35
12/25/2023 4:06,42930.35,42970.15,42930.34,16.72265,42920.49583,42862.28462,67.96231396,42970.14
12/25/2023 4:07,42970.14,42972.87,42958.41,13.026,42931.2325,42870.49038,73.36775563,42972.86
12/25/2023 4:08,42972.87,43000,42972.86,12.59908,42944.23083,42878.75462,82.81567757,43000
12/25/2023 4:09,43000,43012,42997.47,9.50096,42953.09333,42889.04462,89.17759015,43011.99
12/25/2023 4:10,43012,43030.96,43000,35.21344,42962.34583,42899.62,90.05742693,43030.96
12/25/2023 4:11,43030.96,43040.39,43010,29.82953,42971.87417,42909.82846,86.87485857,43036
12/25/2023 4:12,43036,43055,43030.49,20.61609,42981.635,42918.81038,86.89783701,43050.6
12/25/2023 4:13,43050.6,43063.72,43044.36,34.41792,42991.41583,42927.46154,87.50403964,43060.92
12/25/2023 4:14,43060.91,43085.61,43018.5,57.80217,42997.24083,42934.46731,71.22257943,43023.25
12/25/2023 4:15,43023.25,43038.38,43011.3,31.54599,43003.64917,42942.34731,67.58822964,43016.71
12/25/2023 4:16,43016.71,43020.48,43010,29.60228,43009.51583,42951.36269,63.95246479,43010.41
12/25/2023 4:17,43010.41,43015.47,42979.66,19.12013,43016.60833,42957.705,69.29945405,43015.46
12/25/2023 4:18,43015.46,43018.1,43010,8.63443,43020.605,42962.58538,69.67696417,43018.1
12/25/2023 4:19,43018.09,43018.1,43013.69,3.59708,43024.0325,42967.89231,71.68187474,43013.99
12/25/2023 4:20,43013.99,43018.1,43008.75,10.99995,43024.7625,42973.69077,62.19681657,43008.76
12/25/2023 4:21,43008.75,43024.08,43008.75,12.47146,43025.03083,42980.275,63.06695464,43015.21
12/25/2023 4:22,43015.21,43015.22,43015.21,6.36214,43023.71833,42986.85923,55.63709139,43015.21
12/25/2023 4:23,43015.22,43019.66,43011.33,10.38151,43021.98917,42991.075,51.32563435,43015.25
12/25/2023 4:24,43015.24,43015.25,42992.22,16.18694,43017.125,42993.85577,34.75316904,42992.23
12/25/2023 4:25,42992.23,43001.97,42985.48,9.35907,43012.21167,42996.94423,37.07668945,43001.96
12/25/2023 4:26,43001.97,43017.99,43001.96,11.02061,43011.6075,43000.11846,36.80799146,43016
12/25/2023 4:27,43016,43016,43014,8.33241,43011.3825,43002.82846,30.90139239,43014.01
12/25/2023 4:28,43014,43014.01,43002.06,7.96883,43010.68667,43004.70192,39.08744464,43002.06
12/25/2023 4:29,43002.07,43011.1,42991.98,18.66067,43010.3225,43007.44346,47.17814822,43011.09
12/25/2023 4:30,43011.1,43011.1,42985,9.87845,43007.565,43009.17423,39.35991957,42985.01
12/25/2023 4:31,42985,42990,42972.87,9.54535,43004.21,43010.84269,33.38641612,42973.73
12/25/2023 4:32,42973.74,43003.99,42964,16.61948,43003.8125,43012.14462,45.39520919,43003.99
12/25/2023 4:33,43003.99,43017.71,43003.98,17.54426,43004.02083,43013.86962,51.1423658,43017.71
12/25/2023 4:34,43017.71,43042.02,43017.7,19.35644,43005.41083,43015.09615,56.73284043,43031.89
12/25/2023 4:35,43031.89,43045.66,43028.38,10.11994,43007.62667,43016.24423,57.59685057,43041.84
12/25/2023 4:36,43041.84,43065.95,43041.83,10.28802,43013.77,43017.59,62.72444578,43065.95
12/25/2023 4:37,43065.94,43080.04,43065.94,28.34946,43020.275,43019.28308,65.17501523,43080.02
12/25/2023 4:38,43080.02,43080.02,43060,11.83231,43023.9425,43019.645,66.10741445,43060.01
12/25/2023 4:39,43060,43060.01,43032.14,14.46957,43025.45333,43018.53808,56.60278288,43032.14
12/25/2023 4:40,43032.15,43044,43032.14,16.4418,43028.94833,43019.33615,56.18483831,43044
12/25/2023 4:41,43043.99,43052,43042.31,6.14159,43031.55,43020.32077,56.25940016,43042.31
12/25/2023 4:42,43042.31,43042.32,43037.03,9.19766,43036.09917,43021.44346,58.65695047,43039.6
12/25/2023 4:43,43039.6,43063.99,43039.59,15.1041,43043.295,43023.15962,60.73071363,43060.08
12/25/2023 4:44,43060.07,43060.08,43053.15,5.77623,43047.96917,43024.77423,68.56422177,43060.08
12/25/2023 4:45,43060.07,43064.12,43053.73,40.46072,43051.68833,43026.63385,72.93575607,43062.34
12/25/2023 4:46,43062.33,43065.45,43040.98,13.50058,43052.44583,43027.87308,60.03690237,43040.98
12/25/2023 4:47,43040.99,43061.1,43040.98,6.44454,43053.965,43029.59846,61.16852985,43060.07
12/25/2023 4:48,43060.01,43060.01,43052.02,5.56822,43052.80417,43031.01423,55.48471473,43052.02
12/25/2023 4:49,43052.02,43052.03,43042.01,5.72776,43050.385,43032.38885,52.620425,43050.99
12/25/2023 4:50,43050.99,43060.24,43043.86,12.11036,43049.03917,43034.37462,42.99219593,43043.86
12/25/2023 4:51,43043.87,43043.87,43028.38,5.91077,43049.32333,43035.66654,35.35726045,43035.55
12/25/2023 4:52,43035.55,43035.56,43029.41,7.65302,43048.10833,43036.18269,38.91425672,43029.42
12/25/2023 4:53,43029.42,43043.67,43029.41,6.62033,43048.22167,43037.32346,54.63610776,43043.67
12/25/2023 4:54,43043.66,43062.11,43043.66,7.65623,43050.0975,43039.63308,56.91590926,43062.11
12/25/2023 4:55,43062.11,43062.11,43036.7,18.51527,43048.14917,43040.61808,48.18622696,43036.7
12/25/2023 4:56,43036.71,43036.71,43032.4,4.86893,43046.04333,43042.53346,48.44308652,43034.81
12/25/2023 4:57,43034.81,43074.3,43034.81,9.02904,43047.04,43046.40154,54.1136311,43074.3
12/25/2023 4:58,43074.29,43074.3,43046.18,8.0035,43047.47333,43048.02423,46.54160032,43046.18
12/25/2023 4:59,43046.19,43047.91,43046.18,9.5338,43046.46,43049.18577,46.40023949,43047.91
12/25/2023 5:00,43047.9,43047.91,43032.4,9.55653,43044.91167,43049.24538,48.05208226,43033.44
12/25/2023 5:01,43033.44,43082.91,43033.44,17.42053,43047.57167,43050.825,55.10003573,43082.91
12/25/2023 5:02,43082.91,43100,43082.89,20.58372,43052.24917,43052.13423,60.2962009,43099.99
12/25/2023 5:03,43099.99,43103.53,43099.99,11.97739,43057.91417,43053.03846,61.1568844,43103.53
12/25/2023 5:04,43103.52,43110,43103.52,13.79319,43064.41333,43054.86154,63.68373455,43107.41
12/25/2023 5:05,43107.4,43107.41,43068,27.17787,43066.44083,43056.24077,56.1619384,43068
12/25/2023 5:06,43068.01,43068.01,43011.2,18.96118,43062.19917,43054.97962,47.10004141,43011.21
12/25/2023 5:07,43011.21,43011.21,43000,16.95944,43059.14167,43053.35269,42.97890133,43000.01
12/25/2023 5:08,43000,43000.01,42974.68,17.45048,43054.13083,43050.85577,36.24492621,42974.68
12/25/2023 5:09,42974.68,42981.11,42974.68,14.30027,43046.365,43047.81846,40.69872503,42981.11
12/25/2023 5:10,42981.1,42982,42974.68,13.88998,43040.4075,43044.53423,40.09098101,42974.69
12/25/2023 5:11,42974.68,42974.69,42966.34,5.03371,43033.61083,43040.84231,30.17155872,42966.35
12/25/2023 5:12,42966.34,42970,42966.34,6.7951,43028.32333,43038.11192,34.62237113,42969.99
12/25/2023 5:13,42970,42970,42969.99,2.39671,43018.91333,43034.64731,34.16260163,42969.99
12/25/2023 5:14,42969.99,42978,42969.99,5.23546,43008.74667,43031.8,38.42524945,42977.99
12/25/2023 5:15,42977.99,42978,42974.28,10.22488,42997.97583,43028.84962,21.9693451,42974.28
12/25/2023 5:16,42974.29,42974.29,42958.68,37.28813,42985.68417,43025.62077,13.34135874,42959.91
12/25/2023 5:17,42959.91,42964.43,42959.91,6.08972,42977.05333,43022.88538,13.78358675,42964.43
12/25/2023 5:18,42964.43,42964.43,42958.69,9.57731,42972.67667,43020.165,11.65033522,42958.69
12/25/2023 5:19,42958.69,42965.06,42958.69,5.19125,42969.76333,43017.14115,17.99813491,42965.05
12/25/2023 5:20,42965.06,42965.06,42960,10.51173,42968.54,43013.21385,26.53285675,42960
12/25/2023 5:21,42960,42960.01,42960,3.58123,42966.78167,43010.26423,29.5751634,42960.01
12/25/2023 5:22,42960.01,42960.01,42959.96,6.91691,42965.55417,43007.38538,39.86784141,42959.96
12/25/2023 5:23,42959.97,42959.97,42958,3.83367,42964.85833,43002.91231,33.04972862,42958
12/25/2023 5:24,42958.01,42958.01,42948.08,9.63596,42963.03333,42999.13962,31.44013397,42948.09
12/25/2023 5:25,42948.08,42974.29,42937.34,52.99005,42962.36833,42995.83577,47.19057483,42962.01
12/25/2023 5:26,42962.02,42969.98,42956.34,14.51046,42961.7,42993.39462,49.98773909,42969.97
12/25/2023 5:27,42969.98,42969.98,42937.66,13.59969,42959.17667,42988.05192,37.91500046,42944
12/25/2023 5:28,42944.01,42944.01,42932.04,17.46446,42957.85,42982.05192,32.92143862,42943.99
12/25/2023 5:29,42944,42944,42914.89,10.18505,42953.72167,42974.79654,26.23068919,42914.89
12/25/2023 5:30,42914.9,42935.42,42910.78,20.30632,42951.78167,42968.18115,40.6545621,42935.41
12/25/2023 5:31,42935.41,42956.35,42935.41,10.93489,42950.98667,42963.85462,46.95895268,42955.51
12/25/2023 5:32,42955.52,42955.52,42944,5.87073,42949.65333,42961.26962,45.18139474,42944
12/25/2023 5:33,42944,42950.88,42928.9,14.92382,42947.06167,42958.535,38.78754033,42928.91
12/25/2023 5:34,42928.91,42956.9,42928.9,13.00611,42946.80667,42957.85115,49.15806627,42956.9
12/25/2023 5:35,42956.9,42956.9,42888,24.72275,42941.32917,42954.43423,36.38227726,42892.27
12/25/2023 5:36,42892.27,42892.28,42867.81,26.11252,42936.03417,42950.96731,35.29388822,42884.55
12/25/2023 5:37,42884.56,42890.13,42883.42,12.93432,42929.61667,42947.83846,35.67953547,42885
12/25/2023 5:38,42885,42930.48,42884.99,30.89922,42926.32583,42946.31885,46.96849716,42930.48
12/25/2023 5:39,42930.48,42940.68,42926,9.17733,42926.04833,42945.19115,46.27859933,42940.67
12/25/2023 5:40,42940.67,42959.88,42940.67,8.90879,42927.37167,42944.49423,48.30514163,42959.87
